episode,title,speakers,date,contents,url,text,logo
1,"Cybersecurity Experts, Log4j, and Open Source",Three industry experts,"Feb 03, 2022",A discussion on Log4j vulnerabilities and the challenges of maintaining open-source software.,https://open.spotify.com/episode/379RoutRRj2adIb3BuNN85,"Three industry experts with different ties to the world of software talk about the latest in software, from Log4j to today, and what remediation looks like for development teams. We discuss update behaviors in the development community and the risks associated with using old code. To round out our debut episode - we talk about the silent industrial revolution and who bears the burden of maintaining open source software.",logo-open-source.svg
2,Starting Security Left,Various security experts,"Feb 18, 2022",A discussion about shifting security practices left and the role of developers in security.,https://open.spotify.com/episode/7h31dTIn3gZpVUE7PwgW0W,"We're tackling the ongoing discussion about shifting security left - or really starting security left. What do developers need to understand about the current state of application security? How should they be involved in security decisions? What's involved in building secure code from the beginning? This episode wraps up on the topic of what questions organizations and developers should be asking themselves when it comes to their security practices.",logo-malware.svg

3,Central: A Look Back and a Look Forward,"Brian Fox, Jason Swank, Joel Orlina","Mar 21, 2022",A reflection on the history and future of Maven Central.,https://open.spotify.com/episode/3Kw9OHfxv0qPpbJiAgEY3d,"If you utilize Java or any other JVM, there’s a good chance you know the Maven Central repository. Today’s episode brings long-time maintainers and contributors of Maven Central, Brian Fox, Jason Swank, and Joel Orlina to the mic to rehash the early days of Maven Central, lessons learned from managing open source ecosystems, and bring insight into the platform’s practical software supply chain management capabilities of the past, present, and future.",logo-maven.svg

4,Spring4shell,Various security experts,"Apr 02, 2022","Dissecting the zero-day vulnerability in the Spring Framework, Spring4Shell.",https://open.spotify.com/episode/5zn4Kg3WzAVe7XJ0gxajQI,"Did Spring4Shell set the internet on fire again? Not so fast. In a special episode of Wicked Good Development, we dissect the zero-day RCE vulnerability in the Spring Framework dubbed Spring4Shell or Springshell. From comparisons to Log4j to how to remediate it and what versions on vulnerable, the experts on today’s show break down what we know so far about this new vulnerability. And most importantly, how to determine if you're affected.",logo-spring.svg
5,Women in Tech #Breaking the Bias,"Ankita Lamba, Grace Lee, Santi Mulukutla, Sue Jasmin","Apr 13, 2022",Discussing bias in tech and how to empower women in the workplace.,https://open.spotify.com/episode/7fVt1TdzAnXzkzxHyfFGXJ,"“I’ll block, you run.” In this encouraging talk from four women in tech at Sonatype, hear how their career paths have shaped how they support mitigating and interrupting bias at work and ways to create environments that empower women to be their authentic selves every day. Join Senior Security Researcher Ankita Lamba, Product Manager Grace Lee, Customer Success Engineer Santi Mulukutla, and Director of Agile Coaching Sue Jasmin as they create space to discuss:-The importance of active sponsorship and mentorship-How to eliminate bias in the hiring process-Cultural limitations that affect bias in company cultures-Why cancel culture doesn’t work when it comes to inclusion.",logo-empower.svg
6,The Logic of Code Quality,"Rohan Bhaumik, Sal Kimmich, Stephen Magill","Apr 13, 2022",Exploring how to achieve and measure code quality.,https://open.spotify.com/episode/0kejuKyEmNFU8YIyi8QncW," Write code so good you don’t need documentation to go along with it. Achieving code quality that is measurable, efficient, and scalable across even the leanest development teams can feel like a stunt. Yet, the costs of growing tech debt make setting a standard a no-brainer. From defining code quality, how to measure it, and the best time to involve quality checks in the development process, join a comprehensive talk on the logic of high code quality. Coming straight from Sonatype in-house industry experts Product Manager Rohan Bhaumik, Developer Advocate Sal Kimmich, and VP of product innovation Stephen Magill.",logo-tech-debt.svg

7,Developer and Open Source Contributor Stories at Devnexus Part 1,Maarten Mulders,"May 11, 2022",Stories from the open-source community at Devnexus 2022.,https://open.spotify.com/episode/6f4Gvr8pMysFNfJuNn25jX," This episode is the first in a mini-series from our experience at Devnexus 2022. It was an exciting time to learn from developers and capture wisdom from the open source community. The life of a contributor told by Maarten Mulders, Consultant, Trainer, and Technology Advocate at Info Support, plays out on Wicked Good Development during DevNexus 2022. Considering Apache Maven to be the cornerstone for Java development, hear how Maarten navigates fixing bugs, avoiding build breaks, and Java derivative languages.",logo-r-w-blue-w.svg
8,Developer and Open Source Contributor Stories at Devnexus Part 2,Brad Wood,"May 12, 2022",Brad Wood discusses open-source security and community.,https://open.spotify.com/episode/3oNpxdKiKTbgc136Y7AvSl," Brad Wood, Software Architect at Ortus Solutions says “everybody should be secure” when it comes to open source security. Hear Brad’s distinctive perspective after occupying roles of both an open source maintainer and contributor. From the advantages of using ColdFusion to the effects of trust in development like abandonware and namespace confusion attacks, Brad covers it all with Wicked Good Development at DevNexus 2022.",logo-r-w-blue-w.svg
9,Developer and Open Source Contributor Stories at Devnexus Part 3,"Luis Majano, Grace Jansen","May 14, 2022",Discussions on open-source contributions and collaboration.,https://open.spotify.com/episode/5WivNKfSCekMycmig4WiVk,"This episode is three fold as we finish up the roundtable discussion on Devnexus 2022 and we get a chance to interview two more developers who contribute to the open source community. We connect with Luis Majano, CEO of Ortus Solutions and long-time computer engineer, about putting in the open source work. From using a 70/30 ratio to dedicate time building open source in between client work to getting the next generation involved in maintaining minor code fixes first-hand, hear how the level of work put in makes the difference in professional open source. We also learn with Grace Jansen, Developer Advocate at IBM, about how the preservation of open source collaboration will be the guiding light to pushing technology forward. Hear how her unique background in Biology gives her insight into methodologies and behaviors when it comes to responsiveness and resiliency.",logo-r-w-blue-w.svg

10,Evolution of Supply Chain Attacks,"Jamie Whitehouse, Daryl Handley, Cody Nash, AJ Brown","Jun 09, 2022",Exploring the evolution of software supply chain attacks.,https://open.spotify.com/episode/20JGZNrhEhYWQAZe28vCGL,"For this episode, Jamie Whitehouse, Director of Product Management at Sonatype, joins Kadi as guest host. With the unique perspectives of a Product Manager, Engineering Manager Daryl Handley, Data Scientist Cody Nash, and principal Engineer AJ Brown, we dissect the evolution of software supply chain attacks and lessons learned. We’ll dive into how credit card fraud detection and supply chain attack detection is similar, the data science behind these systems, and the behavior of the developers.",logo-open-source.svg
